"Filename","Assignment","College","Country","Course","Draft","Gender","ID","Institution","Instructor","Program","Semester","TOEFL Listening","TOEFL Speaking","TOEFL Reading","TOEFL Total","TOEFL Writing","Year","Year in School","Excerpt"
"106_PS_F_CHN_1_M_10035_UA","Position Argument","SBS","China","ENGL 106","F","M","10035","University of Arizona","1001","Economics","Fall","19","26","14","70","11","1","2016","… In the different country, there also has different state, cities and remote areas and cities. In the remote … people have this idea in their mind, the sentences that say will become shorter, and as simply as the sentences can. For example, when we learn to say &quot;as soon as possible&quot;, the unnative speakers must say it …"
"108_PA_F_CHN_2_M_10069_UA","Public Argument","M; S","China","ENGL 108","F","M","10069","University of Arizona","1008","Pre Business; Mathematics","Fall","0","0","0","N/A","0","2","2016","… is long. The President of the United States is the Head of State and Government of the United States of America and the … system in which the highest number of voters in a state or capital gets all the electoral votes of the state or … does not benefit the United States. Just like some critics argue, the White house is not the crown room, not achieve …"
"106_VA_F_CHN_1_M_10086_UA","Variation Analysis","S","China","ENGL 106","F","M","10086","University of Arizona","1011","Pre-Computer Science","Spring","17","16","20","74","21","1","2017","… Fought with the comments of the video &quot;Researchers say Californians really do have an accent.&quot; There are some … other accent. For example, (1) &quot;As a Californian I can say, I say &quot;dude&quot; about 10 million times a day &quot;(Sebastian …"
"106_PS_F_SAU_1_F_10085_UA","Position Argument","S","Saudi Arabia","ENGL 106","F","F","10085","University of Arizona","1002","Biology","Spring","18","13","20","72","21","1","2017","… &quot;World Englishes and The Teaching of Writing.&quot; The writers argue for teaching the dominant language forms and functions, … the dominant language. In other words, Matsuda and Matsuda claim teaching standard written English is one of the … if she would like to start the game; but, he did not say it like that. He said &quot;Wanna start the game?&quot; As a …"
"108_CA_F_CHN_1_M_10055_UA","Controversy Analysis","US","China","ENGL 108","F","M","10055","University of Arizona","1008","No Major Selected Ltr Art Sci","Fall","20","16","20","74","18","1","2016","… development to determine the safety for human. Some might say it&#039;s cruel and cold-blooded to do testing on animals and … They also use the strong comparison between two data to argue that this is such a wasteful way for drug development. … organization argues against animal testing and claim that Animal experiments are cruel, unreliable and even …"
"106_PS_F_CHN_1_F_10025_UA","Position Argument","S","China","ENGL 106","F","F","10025","University of Arizona","1006","Psychology","Fall","16","25","19","79","19","1","2016","… Toward this policy, there are mainly two perspectives State education officials think that teachers with heavy … fluency&quot; (2010) reported that &quot;State education officials say the move is intended to ensure that students with limited … I make sure that each part is relevant to the main claim. …"
"106_DE_F_CHN_1_F_10038_UA","Description and Explanation","SBS","China","ENGL 106","F","F","10038","University of Arizona","1002","Economics","Fall","17","19","18","75","21","1","2016","… my friend face to face. I need to use some greetings as I say to my friend. For instance, I use &quot;Dear Amy&quot; to show my … know the main idea of each paragraph and conclude it. As I say in the e-mail, &quot;The article is written by Finegan who … Then I talk about prescriptive, using the same example to state. The original text just uses statements to express the …"
"106_VA_F_CHN_1_F_10087_UA","Variation Analysis","M","China","ENGL 106","F","F","10087","University of Arizona","1011","Pre-Business","Spring","18","21","22","83","22","1","2017","… Youtube comments of the video called &quot;Sh%t Southern Women Say&quot; and Fought&#039;s article, language as a representation of … the user called Ivy Kats says that &quot;I&#039;m from TX and I can say this is actually pretty accurate&quot;. Apparently, Ivy Kats&#039;s … here&quot;. Besides, &quot;&#039;I literally asked myself &#039;do people not say this anywhere else? For half the video x D&quot;(Jared …"
"106_VA_F_CHN_2_M_10091_UA","Variation Analysis","S","China","ENGL 106","F","M","10091","University of Arizona","1011","Geosciences","Spring","22","26","15","79","16","2","2017","… There is a video on You Tube, it called&quot; Researchers say Californians really do have an accent&quot;. Most people think … We can see the comments for the video,&quot; U Just have to say omg a Lot and use your throat in a way to sound like … the sentence from the video comments &quot;Lame. I don&#039;t say bock &quot; rarecharisma . We can saw that sentences are very …"
"106_PS_F_CHN_1_F_10038_UA","Position Argument","SBS","China","ENGL 106","F","F","10038","University of Arizona","1002","Economics","Fall","17","19","18","75","21","1","2016","… professors of English and applied linguistics at Arizona State University. They do a huge research in English and … customs in different places. In addition, the authors also say that teachers do not need to just teach the dominant form, it can be changed as well. As they say in their article &quot;It is also important to help students …"
"106_PS_F_MEX_1_M_10048_UA","Position Argument","US","Mexico","ENGL 106","F","M","10048","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","18","13","20","71","20","1","2016","… Reyes 11/5/2016 &quot;What Do Non-native Speakers Say About Who They Want To Sound Like?&quot; By: Chit Cheung … accent as the native speakers of American English do. Some argue that learning English with a native accent is better … and communicating around the world, while others argue that learning English their own way would be better for …"
"108_PA_F_SAU_1_M_10068_UA","Public Argument","M","Saudi Arabia","ENGL 108","F","M","10068","University of Arizona","1008","Pre Business","Fall","30","24","28","106","24","1","2016","… were then adopted by Washington who &quot;became the second state to legalize physician-assisted suicide after Oregon in … laws on euthanasia, doctors would have to have the final say on wither a patient should be authorized for euthanasia … as well, people believe that human life is &quot;sacred, and say that it is wrong for anyone to shorten a human life,&quot; and …"
"108_CA_F_CHN_2_M_10069_UA","Controversy Analysis","M; S","China","ENGL 108","F","M","10069","University of Arizona","1008","Pre Business; Mathematics","Fall","0","0","0","N/A","0","2","2016","… is long. The President of the United States is the Head of State and Government of the United States of America and the … system in which the highest number of voters in a state or capital gets all the electoral votes of the state or the capital, and the majority of the states and …"
"106_PS_F_CHN_1_M_10020_UA","Position Argument","S","China","ENGL 106","F","M","10020","University of Arizona","1006","Pre Computer Science","Fall","22","17","19","74","16","1","2016","… has become a big issue in American school, the Arizona state government has passed an act. Because of this act from … a class only has 50 minutes. So, as a ESL student, I would say have a teacher who have heavy unintelligibility accent to … the quality of that class. From my own experience, I could say that remove teacher who has unintelligibility accent from …"
"106_DE_F_CHN_1_M_10005_UA","Description and Explanation","E","China","ENGL 106","F","M","10005","University of Arizona","1002","No Major Selected Engineering","Fall","24","25","17","80","14","1","2016","… article, author give some background of language and then say correct language and grammar have connection, at last say who&#039;s right. Let&#039;s continue the subject. I want to ask … right or wrong for language. In the original article it say, for some expert, they say the real issue about language …"
"106_PS_F_JPN_1_M_10037_UA","Position Argument","SBS","Japan","ENGL 106","F","M","10037","University of Arizona","1006","Information Science &amp; Tech","Fall","18","17","17","72","20","1","2016","… students that is still learning English. However, critics state that State education official seem to try to target immigrant … native English speaker&#039;s accents, what I&#039;m trying to say is that English should be taught by a native speaker. …"
"106_PS_F_CHN_1_F_10039_UA","Position Argument","SBS","China","ENGL 106","F","F","10039","University of Arizona","1005","Economics","Fall","19","18","18","76","21","1","2016","… realized by English learners, so in this paper, I will argue about the question of whether native-speaker … speaking dominant. The first argument that I want to claim is: native-speaker pronunciation not means intelligible … the education of English speaking. Although many educators say that student need to learn native-speaker pronunciation …"
"106_VA_F_CHN_1_F_10088_UA","Variation Analysis","M","China","ENGL 106","F","F","10088","University of Arizona","1011","Pre-Business","Spring","24","23","19","80","14","1","2017","… comments of a You Tube video called &quot;Sh%t Southern Women Say, Episode 1&quot;. The first difference is the structural … According to Otto Conde, &quot;As a northerner, all I got to say is Southern girls&gt; Northern girls.&quot; (Otto Conde). … think, Shannon?&quot; You Tube comments of &quot;Sh%t Southern Women Say, Episode 1&quot;, 02 Aug 2016, …"
"106_PS_F_NA_2_M_10031_UA","Position Argument","S","Namibia","ENGL 106","F","M","10031","University of Arizona","1001","Biochemistry","Fall","0","0","0","N/A","0","2","2016","… language is the correct language is inaccurate. We could say that there is not correct or wrong Englishes in the … of the words the same way as an U.S. born and raised would say those words and constantly, my coworkers would be ask to … English and Director of Second Language Writing at Arizona State University &amp; Aya Matsuda, Professor of Applied …"
