"Filename","Assignment","College","Country","Course","Draft","Gender","ID","Institution","Instructor","Program","Semester","TOEFL Listening","TOEFL Speaking","TOEFL Reading","TOEFL Total","TOEFL Writing","Year","Year in School","Excerpt"
"107_PO_F_ESP_1_M_10118_UA","Portfolio","M","Spain","ENGL 107","F","M","10118","University of Arizona","1013","Pre-Business","Spring","18","17","19","78","24","1","2017","s friends said ""Everyone wants to be around him because with him you will always have a great time"" (Jordi Vila, 2017). ""There is no time for sad moments with him, he always makes you smile even if you are down"" (Pere Rubio, 2017).
Besides my strengths, I "
"107_PO_F_SAU_1_M_10112_UA","Portfolio","NUR","Saudi Arabia","ENGL 107","F","M","10112","University of Arizona","1013","Pre-Nursing","Spring","20","17","22","78","19","1","2017","sque to pray and stand up shoulder to shoulder, one can understand the true meaning of being united (Hamdan, February 26, 2017).""
Sample Writing 2:
Subsequently, writing about the religious life of Muslims, they are mandated, as mentioned above, to pray fi"
"107_PO_F_IND_1_M_10029_UA","Portfolio","S","India","ENGL 107","F","M","10114","University of Arizona","1013","Pre-Computer Science","Spring","19","24","22","87","22","1","2017"," reflecting on an event and analyzing a community.
Letter of Intent:
Through reflecting on an event (see Appendix A) I developed skills to reflect on someone's work and ability to comprehend it. This task enabled me to identify the purposes of, intended au"
"107_NR_F_SAU_1_M_10112_UA","Narrative","NUR","Saudi Arabia","ENGL 107","F","M","10112","University of Arizona","1013","Pre-Nursing","Spring","20","17","22","78","19","1","2017","I could get in touch with Syrian Refugees, I heard about an opportunity at Islamic center of Tucson (ITC) to teach some Syrian children the basics of the Arabic language. Truthfully, it was the happiest day ever for me during the past two years here in the"
"106_RR_F_CHN_3_F_10004_UA","Register Rewrite","E","China","ENGL 106","F","F","10004","University of Arizona","1002","Electrical &amp; Computer Engineer","Fall","16","26","18","79","19","3","2016","as ""They don't have none' or 'any"", it will be entirely converse when you use different words. 
A: 
(emotion) 
B: 
I also think the use of pronouns is necessary. I regard 'ain't' as a wrong and inelegant pronoun and think it should be prohibited. I would r"
"106_RR_F_CHN_1_M_10020_UA","Register Rewrite","S","China","ENGL 106","F","M","10020","University of Arizona","1006","Pre Computer Science","Fall","22","17","19","74","16","1","2016","ng| 
What we had in class? Tell me plzzzzzzzzzzzzzzzz 
Only thing you need to do is buy me a pepsi 
( ` ) 
Surrrrrrrrre 
Watched a video, and discuses about it 
Talk about what 
Text is not writing, text is new way people use lang blablabla. 
Text come out"
"107_NR_F_CHN_1_M_10102_UA","Narrative","S","China","ENGL 107","F","M","10102","University of Arizona","1012","Mathematics","Spring","19","16","19","72","18","1","2017","ns, piano, bed...... After nearly half an year, it is first time I leaved home for such a long time (actually this year would be much longer than last year, so new record), I felt like I want to chat with all my ""staffs"", and I really do such a silly thing"
"106_RR_F_CHN_1_F_10053_UA","Register Rewrite","US","China","ENGL 106","F","F","10053","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","20","17","18","74","19","1","2016","did not get a conclusion. Those days I have read some interesting ideas about this from the website.(Finegan) I would like to share the ideas with you. 
Since we study abroad, we speak English everyday. A question we always think is whether we are use Engl"
"106_RR_F_CHN_1_F_10006_UA","Register Rewrite","CFA","China","ENGL 106","F","F","10006","University of Arizona","1005","Studio Art","Fall","14","21","18","74","21","1","2016","English 106-14 
Unit 1 Project: Text Re-Write 
Original Text: Eble, C. (2005). What is sociolinguistics? Sociolinguistics basics. PBS Do You Speak American? http://www.pbs.org/speak/speech/sociolinguistics/sociolinguistics/ 
Text Re-Write Format: TED talk "
"106_RR_F_HND_1_M_10008_UA","Register Rewrite","S","Honduras","ENGL 106","F","M","10008","University of Arizona","1005","Astronomy","Fall","0","0","0","N/A","0","1","2016","English 106-14 
What is Sociolinguistics? Rewrite 
Christine  
Original Text: Eble, C. (2005). What is sociolinguistics? Sociolinguistics basics. PBS Do You Speak 
American? ""http://www.pbs.org/speak/speech/sociolinguistics/sociolinguistics/"" 
Text R"
"106_RR_F_CHN_1_M_10061_UA","Register Rewrite","M","China","ENGL 106","F","M","10061","University of Arizona","1002","Pre Business","Fall","21","22","18","82","21","1","2016","uys reading. Here are my opinions for this video. Pleasure to get me some comments from your guys. O( _ )O"
