<End Header>
Introduction<this ^np+++??+=Introduction</heading>This
essay ^nn++++=essay
sets ^nns++++=sets
out ^rp+pl+++=out
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
model ^nn++++=model
of ^in++++=of
international ^jj+atrb+++=international
trade ^nn++++=trade
developed ^vwbn+++xvbn+=developed
by ^in++++=by
eli ^np+++??+=eli
heckscher ^np+nom++??+=heckscher
and ^cc++++=and
bertil ^np+++??+=bertil
ohlin ^np+++??+=ohlin
in ^in++++=in
the ^ati++++=the
1920s ^cd+date+++=1920s.
. ^zz++++=extraword
one ^cd1++++=one
important ^jj+atrb+++=important
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
model ^nn++++=model
is ^vbz+bez+vrb++=is
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalization ^nn+nom+++=equalization
theorem ^nn++++=theorem,
, ^zz++++=extraword
which ^whp+rel+subj++=which
will ^md+prd+++=will
be ^vb+be+aux++=be
explained ^vpsv++agls+xvbnx+=explained
in ^in++++=in
the ^ati++++=the
essay ^nn++++=essay.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
this ^dt+dem+++=this
theorem ^nn++++=theorem
makes ^vbz++++=makes
no ^at++++=no
assumption ^nn+nom+++=assumption
about ^in++++=about
demand ^vb++++=demand
conditions ^nns+nom+++=conditions.
. ^zz++++=extraword
therefore ^rb+cnj+++=therefore,
, ^zz++++=extraword
this ^dt+dem+++=this
essay ^nn++++=essay
will ^md+prd+++=will
continue ^vb++++=continue
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
different ^jj+atrb+++=different
demand ^nn++++=demand
conditions ^nns+nom+++=conditions
in ^in++++=in
countries ^nns++++=countries
and ^cc++++=and
see ^vb+vprv+++=see
whether ^cs+who+++=whether
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalization ^nn+nom+++=equalization
theorem ^nn++++=theorem
holds ^nns++++=holds.
. ^zz++++=extraword
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
Model<the ^np+++??+=Model</heading>The
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
is ^vbz+bez+vrb++=is
a ^at++++=a
2x2x2 ^cd++++=2x2x2
model ^nn++++=model
where ^wrb+who+++=where
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
countries ^nns++++=countries
( ^zz++++=(h
h ^zz++++=extraword
and ^cc++++=and
f ^zz++++=f),
) ^zz++++=extraword
, ^zz++++=extraword
two ^cd++++=two
factors ^nns++++=factors
( ^zz++++=(labour
labour ^nn++++=extraword
and ^cc++++=and
capital ^nn++++=capital)
) ^zz++++=extraword
and ^cc++++=and
two ^cd++++=two
goods ^nns++++=goods
( ^zz++++=(x
x ^zz++++=extraword
and ^cc++++=and
y ^zz++++=y).
) ^zz++++=extraword
. ^zz++++=extraword
both ^abx++++=both
countries ^nns++++=countries
have ^vb+hv+vrb++=have
identical ^jj+atrb+++=identical
production ^nn+nom+++=production
functions ^nns+nom+++=functions
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
constant ^jj+atrb+++=constant
returns ^nns++++=returns
to ^in++++=to
scale ^nn++++=scale.
. ^zz++++=extraword
there ^ex+pex+++=there
are ^vb+ber+aux++=are
fixed ^vpsv++agls+xvbnx+=fixed
total ^jj+atrb+++=total
supplies ^nns++++=supplies
of ^in++++=of
labour ^nn++++=labour
and ^cc++++=and
capital ^nn++++=capital
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
fully ^rb+amp+splt++=fully
employed ^vpsv++agls+xvbnx+=employed.
. ^zz++++=extraword
these ^dt+dem+++=these
factors ^nns++++=factors
flow ^nn++++=flow
between ^in++++=between
industries ^nns++++=industries
in ^in++++=in
a ^at++++=a
country ^nn++++=country
but ^cc++++=but
do ^vb+do+vrb++=do
not ^xnot++not++=not
flow ^nn++++=flow
between ^in++++=between
countries ^nns++++=countries.
. ^zz++++=extraword
in ^in++++=in
all ^abn++++=all
markets ^nns++++=markets
including ^in++++=including
factor ^nn++++=factor
markets ^nns++++=markets,
, ^zz++++=extraword
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
perfect ^jj+atrb+++=perfect
competition ^nn+nom+++=competition.
. ^zz++++=extraword
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
distortion ^nn+nom+++=distortion
in ^in++++=in
all ^abn++++=all
markets ^nns++++=markets
such ^abl++++=such
as ^ql++++=as
government ^nn+nom+++=government
interventions ^nns+nom+++=interventions.
. ^zz++++=extraword
while ^cs+sub+++=while
marginal ^jj+atrb+++=marginal
rate ^nn++++=rate
of ^in++++=of
substitution ^nn+nom+++=substitution
is ^vbz+bez+vrb++=is
